YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WD50M,PM2.5
2021,4,23,31.66,13.63,22.65,33.62,36.76,26.24,10.25,34.25,0.14,96.3,1.77,3.6,0.62,122.88,2.52,4.12,0.66,123.62,41.95833333
2021,4,24,33.73,11.71,22.73,37.64,40.8,26.53,9.03,28.44,0,96.24,2.16,3.16,0.25,139.12,3.4,6.25,0.13,138.75,37.375
2021,4,25,34.11,7.55,20.83,37.69,41.9,25.94,6.77,21,0,96.2,2.29,3.22,1.74,80.31,3.61,6.73,1.76,80.62,40.625
2021,4,26,33.46,12.49,22.98,35.81,39.37,26.51,9.46,29.19,0.05,96.18,2.38,4.16,1.05,182.38,3.73,6.76,1.37,181.19,31.75
2021,4,27,34.67,11.34,23.01,38.24,41.43,27.8,8.85,26.25,1.2,96.22,2.37,4.99,0.2,117.62,3.81,6.8,0.29,117.12,36.125
2021,4,28,33.55,12.43,22.99,36.13,40.87,28.01,9.4,29.19,0,96.32,3.61,6.48,2.11,153,4.91,8.34,2.12,152.88,40.29166667
2021,4,29,34.33,10.49,22.41,37.64,42.62,25.04,8.42,27.19,0,96.19,3.23,6.11,0.55,139.88,4.84,9.17,0.77,139.12,41.16666667
2021,4,30,34.84,11.5,23.17,38.51,41.9,27.32,8.85,26.06,0,96.15,2.98,5.98,0.62,177.19,4.43,8.86,0.67,176.94,33.83333333
2021,5,1,33.87,11.99,22.93,36,38.45,28.25,9.22,28,7.59,96.17,1.91,3.3,0.59,211.75,3.1,6.21,0.77,213.88,37.125
2021,5,2,30.04,17.56,23.8,31.16,36.23,23.58,13.18,50.12,10.87,96.31,2.34,5.52,0.68,185.69,3.51,8.68,0.98,185.88,30.45833333
2021,5,3,31.15,17.29,24.22,33.32,37.65,24.58,13,47.19,2.57,96.2,1.2,2.41,0.14,195.38,1.82,4.34,0.16,196.75,25.45833333
2021,5,4,31.5,16.76,24.13,33.55,38,25.2,12.57,44.19,0.19,96.14,2.34,3.97,0.16,146.06,3.56,6.19,0.39,144.88,34.45833333
2021,5,5,32.47,16.74,24.6,34.92,38.75,26.38,12.57,41.81,1.12,96.1,1.95,3.73,0.37,211.75,3.25,5.72,0.4,216.88,23.70833333
2021,5,6,32.98,17.47,25.22,35.49,39.83,26.37,13.12,42.44,0.34,96.17,3.23,6.39,1.81,173.38,4.78,7.29,1.81,173.69,19.33333333
2021,5,7,30.67,19.37,25.01,32.84,35.33,26.63,14.65,52.19,1.54,96.37,2.83,4.42,0.39,200.5,3.83,6.23,0.44,201.19,20.91666667
2021,5,8,31.76,19.51,25.63,34.19,37.73,25.62,14.83,51.12,0.26,96.22,2.51,4.36,1.47,136.62,3.71,5.41,1.46,136.62,21.54166667
2021,5,9,33.15,18.23,25.69,35.75,39.67,27.05,13.73,43.69,0.22,96.06,2.38,3.87,1.46,218.81,3.51,5.43,1.92,219.5,21.33333333
2021,5,10,34,19.63,26.81,36.6,39.31,29.34,15.08,44.75,3.19,95.98,1.76,2.8,0.82,260.69,2.96,5.8,0.89,261.88,19.875
2021,5,11,33.8,15.45,24.62,35.19,39.91,27.6,11.72,36.5,0.12,95.96,3.75,7.02,1.69,302.06,5.27,8.48,2.53,302.56,24.29166667
2021,5,12,35.15,13.93,24.55,38.33,42.15,27.64,10.5,29.94,0,95.79,3.43,5.52,2.02,278.31,5.12,7.41,2.19,278.56,20.04166667
2021,5,13,32.44,15.15,23.8,34.7,37.8,27.83,11.47,37.62,0.02,95.87,4.77,6.78,3.02,269.19,5.94,8.2,3.27,269.44,25.91666667
2021,5,14,32.79,19.15,25.97,35.41,37.98,27.6,14.59,46.69,0,95.78,3.23,4.88,1.84,185.44,4.1,5.38,3.07,185.38,22.41666667
2021,5,15,33.47,19.2,26.33,35.9,40.96,28.03,14.65,45.81,0.01,95.71,7.22,10.05,2.53,128,8.84,12.06,4.63,128.12,14.58333333
2021,5,16,30.69,20.79,25.74,32.38,35.26,26.87,16.11,56.88,1.63,95.82,7.43,8.92,5.64,132.94,9.05,10.47,7.17,133.56,11.70833333
2021,5,17,32.25,20.02,26.13,34.3,38.64,26.33,15.38,51.31,0.2,95.87,6.83,8.8,4.52,165.5,8.51,10.1,6.57,166.25,11.29166667
2021,5,18,30.32,20.43,25.37,31.58,32.55,27.93,15.69,55.88,0.49,95.98,5.59,8.66,2.77,193.62,7.23,9.91,5.22,194.19,13.4875
2021,5,19,29.83,20.76,25.29,30.64,33.97,25.3,16.05,59.81,3.11,95.91,5.36,6.98,3.03,219,7.11,8.09,5.44,219.88,12.09166667
2021,5,20,32.15,19.52,25.83,34.25,37.09,26.7,14.95,49.62,0.03,95.9,3.52,6.71,0.53,293.69,4.62,7.97,1.3,280.38,15.5875
2021,5,21,33.69,14.35,24.02,36.53,40.58,27.16,10.93,34.56,0,95.89,3.56,4.58,1.41,122.38,5.21,7.43,2.8,122.75,20.24583333
2021,5,22,34.01,14.73,24.37,36.94,41.09,26.42,11.17,35.19,0,95.83,2.9,4.48,0.28,79.94,4.19,6.73,0.45,80.31,26.28333333
2021,5,23,34.12,15.62,24.87,36.87,40.94,26.84,11.6,34.62,0.07,95.91,4.59,7.5,1.32,328.88,5.92,9.03,2.57,329.88,28.48333333
2021,5,24,34.33,13.4,23.87,36.4,40.79,29.37,10.13,29.94,0.07,95.93,5.27,8.45,3.49,332.38,7.28,10.01,5.14,333.44,27.20833333
2021,5,25,34.88,12.76,23.82,36.82,42.41,28.34,9.7,27.81,0.01,95.72,6.79,9.3,3.66,293.19,9.23,10.94,7.45,293.56,26.725
2021,5,26,34.71,15.31,25.01,36.08,40.04,28.12,11.47,33.31,0.02,95.58,7.38,10.13,4.46,317.5,9.62,12,8.28,317.81,25.91666667
2021,5,27,34.49,17.45,25.97,37.15,41.65,27.06,13.12,38.69,1.93,95.66,7.66,9.55,4.02,304.62,9.48,11.97,7.19,305.12,25.54583333
2021,5,28,33.62,19.74,26.68,36.27,40.36,27.48,15.14,46.75,3.08,95.82,5.01,8.78,1.32,297.56,6.28,11.01,2.17,297.75,19.07916667
2021,5,29,32.93,20.29,26.61,34.92,38.69,28.26,15.56,49,3.39,95.95,5.02,6.8,2.72,304.69,6.73,8.16,5.28,305.5,21.0375
